"Name","Instance Count","Size (bytes)"
"java.util.Formatter$FormatSpecifier",202,6464
"util.io.NamedInputStream",200,4800
"java.lang.invoke.MethodTypeForm",197,7880
"java.io.DataOutputStream",193,7720
"com.ibm.toad.cfparse.FieldInfo[ ]",191,5184
"org.apache.bcel.classfile.CodeException[ ]",191,3056
"org.apache.bcel.generic.Type[ ]",191,3136
"java.io.Reader$2",190,7600
"java.io.StringReader",190,4560
"java.io.StringWriter",190,4560
"util.io.ReaderInputStream",190,3040
"util.io.WriterOutputStream",190,3040
"java.lang.invoke.BoundMethodHandle$Species_L",188,7520
"java.util.LinkedHashMap",185,11840
"java.util.concurrent.atomic.AtomicInteger",185,2960
"com.sun.jmx.mbeanserver.MXBeanMapping[ ]",176,3496
"java.util.concurrent.locks.ReentrantLock$NonfairSync",175,5600
"java.lang.reflect.Constructor[ ]",172,4048
"java.security.Provider$ServiceKey",172,4128
"jdk.internal.module.ServicesCatalog$ServiceProvider",171,4104
"com.sun.jmx.mbeanserver.ConvertingMethod",165,5280
"java.util.concurrent.atomic.AtomicReferenceArray",165,2640
"com.jprofiler.agent.util.a.a.b.h$m",164,10496
"java.util.ImmutableCollections$SetN",164,3936
"pom.util.NoSuchValueInCacheException",159,6360
"org.apache.bcel.classfile.ConstantClass",158,3792
"java.net.URL",157,10048
"com.jprofiler.agent.probe.structures.n",153,7344
"java.util.WeakHashMap$Entry",153,6120
"padl.event.InvokeEvent",153,3672
"jdk.internal.reflect.DirectConstructorHandleAccessor",152,3648
"jdk.internal.reflect.DirectMethodHandleAccessor",142,4544
"org.apache.bcel.classfile.LineNumber",142,3408
"java.io.RandomAccessFile",141,5640
"java.lang.module.ModuleDescriptor$Requires",141,4512
"sun.nio.fs.UnixFileAttributes",141,20304
"sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes",141,2256
"java.util.zip.ZipFile$Source",140,11200
"java.util.zip.ZipFile$Source$Key",140,3360
"sun.nio.fs.UnixFileKey",140,4480
"java.util.zip.ZipFile",139,5560
"java.io.ByteArrayInputStream",136,4352
"java.lang.invoke.LambdaFormEditor",133,2128
"java.lang.invoke.LambdaFormEditor$TransformKey",133,3192
"org.apache.logging.log4j.util.SortedArrayStringMap",133,4256
"padl.event.EntityEvent",131,3144
"java.lang.Exception",130,5200
"java.lang.Character",128,2048
"java.util.ImmutableCollections$List12",127,3048
"java.util.jar.Attributes$Name",127,3048
"java.util.Arrays$ArrayList",126,3024
"padl.event.ElementEvent",126,3024
"java.lang.annotation.Annotation[ ]",118,1888
"com.ibm.toad.cfparse.attributes.ConstantValueAttrInfo",117,3744
"org.apache.bcel.classfile.LocalVariable",114,4560
"padl.creator.classfile.util.ExtendedMethodInvocation",113,2712
"padl.kernel.impl.PackageGhost",110,7040
"java.lang.Package",108,3456
"java.lang.Double",107,2568
"java.lang.Class$AnnotationData",106,2544
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",105,2520
"sun.reflect.annotation.AnnotationInvocationHandler",105,2520
"java.util.HashMap$EntrySet",104,1664
"java.util.Formatter",103,2472
"com.ibm.toad.cfparse.ConstantPool$IntegerEntry",101,1616
"com.ibm.toad.cfparse.attributes.ExceptionsAttrInfo",100,3200
"java.util.concurrent.ConcurrentHashMap$Node[ ]",100,71520
"com.sun.management.internal.DiagnosticCommandArgumentInfo",97,3880
"javax.management.ObjectName$Property[ ]",97,2656
"org.apache.bcel.classfile.LocalVariable[ ]",97,2344
"org.apache.bcel.classfile.AnnotationEntry[ ]",96,1536
"org.apache.bcel.classfile.LineNumber[ ]",96,2448
"java.util.Spliterators$ArraySpliterator",95,3800
"java.util.stream.Nodes$SpinedNodeBuilder",95,3800
"java.util.stream.ReferencePipeline$2",95,5320
"java.util.stream.ReferencePipeline$2$1",95,2280
"java.util.stream.ReferencePipeline$7",95,5320
"java.util.stream.ReferencePipeline$7$1FlatMap",95,2280
"java.util.stream.ReferencePipeline$Head",95,5320
"org.apache.bcel.classfile.AnnotationEntry$$Lambda.0x000000013e2253a0",95,1520
"org.apache.bcel.classfile.Code",95,4560
"org.apache.bcel.classfile.LineNumberTable",95,3040
"org.apache.bcel.classfile.LocalVariableTable",95,3040
"org.apache.bcel.classfile.Method",95,5320
"padl.creator.classfile.relationship.Context",94,5264
"javax.management.MBeanAttributeInfo",92,2944
"org.apache.bcel.classfile.ConstantNameAndType",89,2136
"java.util.concurrent.CopyOnWriteArrayList",88,2112
"padl.kernel.impl.Package",87,5568
"org.apache.bcel.classfile.ConstantMethodref",83,1992
"java.lang.invoke.DirectMethodHandle$StaticAccessor",82,4592
"java.security.Provider$UString",82,1968
"com.ibm.toad.cfparse.ClassFile[ ]",76,2096
"com.ibm.toad.cfparse.ConstantPool$LongEntry",76,1824
"com.jprofiler.agent.util.a.b.aa",75,5400
"java.util.jar.JarFile$JarFileEntry",75,7800
"javax.management.ObjectName$Property",75,1800
"java.lang.Package$VersionInfo",73,2920
"java.lang.invoke.MethodHandle[ ]",73,11864
"java.util.zip.Inflater",72,4608
"java.util.zip.Inflater$InflaterZStreamRef",72,1728
"javax.management.MBeanAttributeInfo[ ]",72,3600
"javax.management.MBeanInfo",72,3456
"javax.management.MBeanParameterInfo",72,2304
"jdk.internal.jimage.ImageReader$Directory",72,2304
"java.util.jar.JarFile",71,4544
"jdk.internal.loader.URLClassPath$JarLoader",71,2272
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig",70,1680
"java.lang.Module",70,3920
"jdk.internal.constant.ClassOrInterfaceDescImpl",70,1680
"jdk.internal.jrtfs.JrtPath",70,2240
"org.apache.bcel.util.ClassPath$Jar",70,1120
"java.io.FileInputStream",69,2760
"java.lang.reflect.Field[ ]",69,2744
"jdk.internal.constant.MethodTypeDescImpl",69,1656
"org.apache.bcel.util.ClassPath$JrtModule",69,1104
"org.apache.bcel.util.ClassPath$Module",69,1104
"java.io.BufferedInputStream",68,2720
"java.security.Provider$Service",68,4352
"org.apache.bcel.classfile.Constant[ ]",68,5960
"org.apache.bcel.classfile.Field[ ]",68,1152
"org.apache.bcel.classfile.Method[ ]",68,1608
"java.io.FileInputStream$1",67,1072
"java.lang.StringBuilder[ ]",67,2144
"java.text.FieldPosition",67,2144
"java.text.Format[ ]",67,3752
"java.text.MessageFormat",67,2680
"java.text.StringBufFactory$StringBuilderImpl",67,1072
"javax.management.MBeanOperationInfo",67,2680
"org.apache.bcel.classfile.ClassParser",67,4824
"org.apache.bcel.classfile.ConstantPool",67,1072
"org.apache.bcel.classfile.JavaClass",67,6432
"org.apache.bcel.classfile.SourceFile",67,2144
"padl.creator.classfile.AbstractClassFileCreator$1",67,1072
"padl.creator.classfile.relationship.LightMethodInvocationAnalyzer",67,2144
"padl.creator.classfile.relationship.RelationshipAnalyzer",67,2144
"util.lang.CFParseBCELConvertorVisitor$JavaClassVisitor",67,1072
"java.lang.ProcessEnvironment$Variable",64,1536
"com.ibm.toad.cfparse.attributes.CodeAttrInfo$ExceptionInfo",63,2016
"java.lang.module.ModuleDescriptor",63,4032
"java.lang.module.ResolvedModule",61,1464
"java.net.URI",61,4880
"jdk.internal.module.ModuleReferenceImpl",61,3416
"jdk.internal.module.SystemModuleFinders$1",61,976
"jdk.internal.module.SystemModuleFinders$SystemModuleReader",61,1464
"jdk.internal.loader.BuiltinClassLoader$LoadedModule",60,1920
"com.ibm.toad.cfparse.attributes.SyntheticAttrInfo",59,1888
"java.lang.invoke.LambdaFormEditor$Transform",59,2832
"java.lang.module.ModuleDescriptor$Provides",59,1416
"jdk.internal.module.SystemModuleFinders$2",58,928
"com.jprofiler.agent.probe.structures.n[ ]",57,1368
"javax.management.MBeanOperationInfo[ ]",57,1864
"javax.management.MBeanParameterInfo[ ]",56,1376
"java.lang.constant.ClassDesc[ ]",55,1544
"java.util.Collections$SingletonList",55,1320
"java.io.ObjectStreamField",54,2160
"sun.reflect.generics.tree.ClassTypeSignature",53,848
"sun.reflect.generics.tree.SimpleClassTypeSignature",53,1272
"sun.reflect.generics.tree.TypeArgument[ ]",53,1000
"java.lang.invoke.LambdaForm$Kind",52,1664
"java.util.concurrent.atomic.AtomicIntegerArray",51,816
"com.ibm.toad.cfparse.ConstantPool$DoubleEntry",50,1200
"javax.management.openmbean.OpenMBeanAttributeInfoSupport",50,3200
"com.sun.management.internal.DiagnosticCommandArgumentInfo[ ]",49,1240
"com.sun.management.internal.DiagnosticCommandImpl$Wrapper",49,1568
"com.sun.management.internal.DiagnosticCommandInfo",49,1568
"jdk.proxy2.$Proxy3",49,784
"padl.kernel.impl.Interface",49,4312
"junit.framework.TestResult$1",48,1152
"org.junit.runner.notification.RunNotifier$9",48,1536
"java.util.TreeMap",47,2256
"org.junit.runner.notification.RunNotifier$5",47,1504
"java.util.concurrent.ConcurrentHashMap$ValuesView",46,736
"com.ibm.toad.cfparse.ConstantPool$InterfaceMethodrefEntry",45,1080
"javax.management.ObjectName",45,1440
"jdk.proxy2.$Proxy4",45,720
"jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl",44,1408
"com.jprofiler.agent.q$a",43,1032
"java.util.HashMap$EntryIterator",43,1376
"java.util.concurrent.ConcurrentHashMap$ValueIterator",42,2352
"padl.kernel.impl.MemberClass",40,3520
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",39,1872
"com.jprofiler.agent.probe.structures.h",36,1440
"com.jprofiler.agent.util.f",36,1152
"java.util.KeyValueHolder",36,864
"double[ ]",35,1200
"com.jprofiler.agent.probe.structures.MetaDataImpl",34,2720
"java.util.Hashtable$Entry",34,1088
"com.sun.jmx.mbeanserver.NamedObject",33,792
