"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"org.junit.runner.JUnitCommandLineParseResult.copyArray(java.lang.String[ ], int, int)",34,34,1
"org.junit.runner.notification.RunListener.<init>()",34,11,3
"org.junit.internal.Throwables$State$2.<init>(java.lang.String, int)",33,33,1
"org.junit.internal.RealSystem.<init>()",31,31,1
"org.junit.internal.TextListener.printFailures(org.junit.runner.Result)",31,31,1
"java.util.concurrent.ConcurrentLinkedQueue.<init>()",30,6,5
"org.junit.internal.TextListener.printHeader(long)",29,29,1
"java.lang.Thread.getContextClassLoader()",28,28,1
"org.junit.runner.Computer.<init>()",27,27,1
"org.junit.runner.notification.RunNotifier$5.<init>(org.junit.runner.notification.RunNotifier, org.junit.runner.Description)",27,27,1
"ca.concordia.ptidej.spectra.ChildJVM.SpectraShutdownJVMThread.<init>()",26,26,1
